user_id,email,first_name,last_name,department,premium,created_date
user0001,maria.williams@company.com,Maria,Williams,IT,true,2025-07-05
user0002,john.miller@company.com,John,Miller,Marketing,false,2025-10-25
user0003,lisa.martinez@company.com,Lisa,Martinez,Operations,true,2025-04-07
user0004,james.brown@company.com,James,Brown,HR,true,2025-09-12
user0005,sarah.garcia@testcorp.com,Sarah,Garcia,Marketing,false,2025-01-21
user0006,robert.jones@company.com,Robert,Jones,Finance,false,2025-04-12
user0007,james.miller@company.com,James,Miller,Support,false,2025-11-09
user0008,john.williams@company.com,John,Williams,HR,false,2025-08-07
user0009,sarah.jones@example.com,Sarah,Jones,Marketing,false,2025-07-04
user0010,emily.smith@testcorp.com,Emily,Smith,Operations,false,2025-10-18
user0011,david.davis@example.com,David,Davis,Engineering,false,2025-05-05
user0012,robert.miller@testcorp.com,Robert,Miller,Engineering,true,2025-07-11
user0013,jane.rodriguez@company.com,Jane,Rodriguez,Operations,true,2025-11-29
user0014,emily.williams@testcorp.com,Emily,Williams,Operations,false,2025-08-14
user0015,john.smith@testcorp.com,John,Smith,IT,false,2024-12-08
user0016,sarah.jones@example.com,Sarah,Jones,Finance,false,2025-03-31
user0017,emily.smith@example.com,Emily,Smith,IT,false,2025-09-24
user0018,sarah.johnson@example.com,Sarah,Johnson,Marketing,true,2025-05-24
user0019,james.williams@example.com,James,Williams,HR,true,2025-11-24
user0020,james.davis@testcorp.com,James,Davis,HR,false,2025-01-16
user0021,michael.smith@company.com,Michael,Smith,Engineering,false,2025-07-18
user0022,david.martinez@company.com,David,Martinez,Operations,false,2025-07-31
user0023,john.jones@company.com,John,Jones,Finance,false,2025-09-06
user0024,sarah.williams@example.com,Sarah,Williams,HR,true,2025-05-25
user0025,emily.jones@company.com,Emily,Jones,Operations,false,2025-08-11
user0026,david.johnson@company.com,David,Johnson,HR,true,2025-01-26
user0027,john.davis@company.com,John,Davis,Marketing,false,2025-05-26
user0028,emily.brown@testcorp.com,Emily,Brown,Support,false,2025-07-22
user0029,michael.brown@example.com,Michael,Brown,Support,false,2025-10-19
user0030,john.davis@testcorp.com,John,Davis,Support,false,2025-10-12
user0031,jane.martinez@testcorp.com,Jane,Martinez,Support,true,2024-12-24
user0032,jane.brown@company.com,Jane,Brown,HR,true,2024-12-21
user0033,michael.miller@testcorp.com,Michael,Miller,IT,false,2025-04-23
user0034,maria.martinez@example.com,Maria,Martinez,IT,false,2025-02-13
user0035,sarah.smith@example.com,Sarah,Smith,Support,true,2025-01-03
user0036,lisa.johnson@testcorp.com,Lisa,Johnson,Sales,true,2024-12-15
user0037,lisa.garcia@testcorp.com,Lisa,Garcia,Marketing,false,2024-12-10
user0038,emily.davis@company.com,Emily,Davis,Sales,false,2024-12-17
user0039,jane.williams@example.com,Jane,Williams,Sales,true,2025-10-31
user0040,john.brown@example.com,John,Brown,Support,false,2025-11-05
user0041,jane.williams@company.com,Jane,Williams,Sales,false,2025-03-28
user0042,robert.miller@example.com,Robert,Miller,Engineering,false,2025-01-11
user0043,david.garcia@testcorp.com,David,Garcia,Engineering,false,2025-04-03
user0044,lisa.williams@example.com,Lisa,Williams,Marketing,false,2025-01-20
user0045,robert.jones@company.com,Robert,Jones,Sales,false,2025-10-31
user0046,john.williams@company.com,John,Williams,Marketing,false,2025-10-03
user0047,maria.davis@example.com,Maria,Davis,Sales,false,2025-02-23
user0048,john.martinez@example.com,John,Martinez,Support,true,2025-09-04
user0049,emily.garcia@example.com,Emily,Garcia,HR,true,2025-02-05
user0050,maria.johnson@company.com,Maria,Johnson,Engineering,false,2024-12-11
user0051,lisa.rodriguez@company.com,Lisa,Rodriguez,IT,false,2025-06-03
user0052,robert.williams@testcorp.com,Robert,Williams,HR,false,2025-06-05
user0053,maria.smith@company.com,Maria,Smith,HR,false,2025-02-14
user0054,robert.jones@testcorp.com,Robert,Jones,Finance,false,2025-03-18
user0055,lisa.brown@testcorp.com,Lisa,Brown,Marketing,false,2025-03-01
user0056,sarah.garcia@company.com,Sarah,Garcia,Marketing,false,2025-07-05
user0057,maria.miller@company.com,Maria,Miller,Sales,true,2025-06-19
user0058,john.williams@example.com,John,Williams,Operations,false,2025-09-18
user0059,james.davis@testcorp.com,James,Davis,Support,false,2024-12-08
user0060,lisa.garcia@testcorp.com,Lisa,Garcia,Marketing,false,2024-12-02
user0061,maria.jones@example.com,Maria,Jones,Finance,true,2025-03-01
user0062,sarah.johnson@example.com,Sarah,Johnson,Operations,false,2024-12-05
user0063,michael.johnson@example.com,Michael,Johnson,Operations,false,2025-03-29
user0064,michael.miller@testcorp.com,Michael,Miller,Finance,false,2025-06-28
user0065,michael.miller@example.com,Michael,Miller,Support,true,2025-10-22
user0066,maria.martinez@example.com,Maria,Martinez,Engineering,false,2025-03-08
user0067,jane.martinez@testcorp.com,Jane,Martinez,Sales,true,2025-10-02
user0068,michael.martinez@example.com,Michael,Martinez,Finance,true,2025-03-22
user0069,lisa.martinez@example.com,Lisa,Martinez,Support,false,2025-06-11
user0070,emily.brown@example.com,Emily,Brown,Sales,true,2025-06-18
user0071,lisa.miller@testcorp.com,Lisa,Miller,HR,false,2025-11-15
user0072,michael.jones@company.com,Michael,Jones,Engineering,false,2025-01-07
user0073,robert.martinez@testcorp.com,Robert,Martinez,Marketing,false,2025-01-08
user0074,john.garcia@company.com,John,Garcia,Operations,false,2025-04-04
user0075,john.garcia@company.com,John,Garcia,Finance,true,2025-03-08
user0076,lisa.smith@example.com,Lisa,Smith,Support,false,2025-06-05
user0077,robert.miller@testcorp.com,Robert,Miller,Operations,false,2024-12-21
user0078,lisa.martinez@example.com,Lisa,Martinez,Finance,true,2025-04-12
user0079,maria.rodriguez@testcorp.com,Maria,Rodriguez,IT,true,2025-05-04
user0080,john.garcia@company.com,John,Garcia,Engineering,true,2025-09-02
user0081,lisa.johnson@testcorp.com,Lisa,Johnson,Engineering,false,2025-11-14
user0082,jane.davis@company.com,Jane,Davis,Support,false,2025-09-01
user0083,maria.brown@example.com,Maria,Brown,Sales,true,2025-09-14
user0084,jane.brown@testcorp.com,Jane,Brown,Support,true,2025-10-05
user0085,maria.jones@company.com,Maria,Jones,Support,false,2025-06-19
user0086,sarah.davis@testcorp.com,Sarah,Davis,Finance,false,2025-11-02
user0087,james.brown@company.com,James,Brown,Engineering,true,2025-06-13
user0088,sarah.johnson@company.com,Sarah,Johnson,Operations,true,2025-06-20
user0089,david.davis@testcorp.com,David,Davis,Sales,true,2025-08-31
user0090,jane.williams@testcorp.com,Jane,Williams,Sales,true,2025-07-06
user0091,michael.jones@example.com,Michael,Jones,Support,true,2025-11-22
user0092,emily.garcia@company.com,Emily,Garcia,HR,false,2025-08-26
user0093,maria.davis@company.com,Maria,Davis,Finance,false,2025-05-19
user0094,robert.williams@example.com,Robert,Williams,Engineering,true,2025-05-12
user0095,sarah.garcia@example.com,Sarah,Garcia,Support,true,2025-05-12
user0096,david.rodriguez@company.com,David,Rodriguez,Marketing,false,2025-10-15
user0097,maria.garcia@company.com,Maria,Garcia,Finance,false,2025-11-21
user0098,lisa.martinez@example.com,Lisa,Martinez,IT,false,2025-03-18
user0099,john.martinez@example.com,John,Martinez,Sales,true,2024-12-05
user0100,david.williams@testcorp.com,David,Williams,Finance,true,2025-11-17
user0101,emily.williams@testcorp.com,Emily,Williams,IT,false,2025-08-26
user0102,james.rodriguez@example.com,James,Rodriguez,Marketing,false,2025-01-29
user0103,john.davis@testcorp.com,John,Davis,Operations,false,2025-10-05
user0104,sarah.miller@testcorp.com,Sarah,Miller,Support,false,2025-08-25
user0105,david.brown@testcorp.com,David,Brown,IT,false,2025-05-04
user0106,michael.jones@company.com,Michael,Jones,Marketing,true,2025-08-22
user0107,sarah.jones@company.com,Sarah,Jones,HR,false,2025-08-13
user0108,michael.martinez@testcorp.com,Michael,Martinez,Support,false,2025-02-20
user0109,john.davis@company.com,John,Davis,Marketing,true,2025-11-15
user0110,sarah.johnson@company.com,Sarah,Johnson,Support,true,2025-11-02
user0111,john.smith@testcorp.com,John,Smith,Finance,false,2025-01-21
user0112,maria.williams@testcorp.com,Maria,Williams,Marketing,true,2025-06-29
user0113,robert.brown@example.com,Robert,Brown,HR,false,2025-06-13
user0114,robert.smith@company.com,Robert,Smith,HR,false,2025-11-26
user0115,david.miller@testcorp.com,David,Miller,Finance,false,2025-09-16
user0116,sarah.brown@testcorp.com,Sarah,Brown,Operations,true,2024-12-01
user0117,robert.jones@example.com,Robert,Jones,Engineering,true,2024-12-27
user0118,john.johnson@company.com,John,Johnson,Support,false,2025-03-20
user0119,lisa.davis@company.com,Lisa,Davis,Support,true,2025-10-02
user0120,robert.brown@company.com,Robert,Brown,IT,false,2025-05-04
user0121,lisa.garcia@testcorp.com,Lisa,Garcia,Sales,false,2025-09-27
